reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
91bfde51-fde8-4bfc-9436-c5e4962ae79e,RM Yazid,https://play-lh.googleusercontent.com/a-/AD_cMMTYIWu4OiLmdbSGYjxeW0RxJvl8BSSZkrFrsfW_qmtkm9s,"forced me to login again whenever I opened the app, so what's the point of having your own mobile app? there's no difference with the website tho, it's annoying",1,31,,2021-10-01 11:05:06,,,
50b1d93d-749d-4a18-a853-482b87b53f70,zahra hilmy,https://play-lh.googleusercontent.com/a-/AD_cMMSL0FLEkNIBCFA1iJBuk_h0Fg6rdq9eCrKnUSvXWB7b-vA,"log in issue, if we press the ""map"" it suddenly lagging and forcing out the app",1,3,3.0.1,2022-12-29 15:17:32,,,3.0.1
251c1591-0eaf-47be-b3ee-95e89914b5b5,Sefano Fahmi,https://play-lh.googleusercontent.com/a/AAcHTtfQQUNqqj1YslgJgCT7eMAtv0rNBGH0JCmMRdgG382bWg=mo,"Have to login everytime I open it. Even I can't login, i've try at several times tho",1,20,2.0.57,2022-02-14 10:12:57,,,2.0.57
623048d8-63a6-4dbf-aeaf-3f300db4a661,Aurellia Salsabila,https://play-lh.googleusercontent.com/a-/AD_cMMRYJpvk3yrj2VnQxYkNPNyJMc6ueyEVElZ6ZHNnLmNO0QM,"It doesn't work, i can't even log in. Please fix it quickly.",1,27,2.0.35,2021-02-04 18:01:29,,,2.0.35
7a6cb692-f9ee-44f7-888f-b2c0080ebdae,Otto.,https://play-lh.googleusercontent.com/a-/AD_cMMQujtBYIYQDZZQZh0VGwPBmVfaKt1T8lWuWPUoa7OZo6yY,"Exception : Token Not Set. Tolong, harus diapakan ?",1,6,2.0.38,2021-03-09 12:00:50,,,2.0.38
bed71a31-6d44-40a5-889b-06d0ce4ce448,Anugrah Ilhami Rizki,https://play-lh.googleusercontent.com/a-/AD_cMMRy6zopWWftsXAGz5is8nFLYIKzlbvi3nC3-5N0Cetst0GU,Requires me to log in every time I open the app.,1,5,3.0.1,2022-09-02 23:27:14,,,3.0.1
66c20e40-8ba2-4c00-ab32-157cbe2f1640,surya dharma,https://play-lh.googleusercontent.com/a-/AD_cMMSyd03qSWMaV-TlYoLISWq_HPp8MkLaecyvuOpB_RqsO64,Login n logout issues,1,1,,2022-01-22 11:25:03,,,
7fbf1c04-c1b7-4910-a6b5-6985c6e758ab,Bangkit Agung Laksono (rideragung),https://play-lh.googleusercontent.com/a-/AD_cMMTBSYDU-lrkMagaUAVcjxtOHxN3xxQ5xaf2dUzNzqkQaA,keren,1,0,3.0.8,2023-07-05 17:15:17,,,3.0.8
7a6c43da-bfba-4aaf-8bb4-b91df71bd4ae,Akbar Aliansyah,https://play-lh.googleusercontent.com/a/AAcHTtckov1N-8tUb-zRrnjm1_gzpRiC0PLXiMF-LuG_40-o8w=mo,notifnya sering ga masuk,1,0,3.0.6,2023-05-27 12:45:08,,,3.0.6
3f6a4d41-5551-4870-ac69-8698c176e4c7,Dea Aginta karina,https://play-lh.googleusercontent.com/a/AAcHTtcnyyEA8xo2crg9kkWonSRTJOSGt-o_1CujFCCTuwJZ=mo,Aplikasi sudah bagus dan cukup membantu mahasiswa dalam urusan akademik Tampilan cukup menarik dan mudah dipahami.,1,0,3.0.1,2023-03-31 16:04:27,,,3.0.1
0515fbb3-21bf-4d84-b298-0b7c09791ddd,11_Romizah Elza,https://play-lh.googleusercontent.com/a-/AD_cMMSQ2CWTXvcvoRQ9tynuhnfFWIbQ8bLzJGkzQoXSs8mn2iQ,"ga bisa login sama sekali setelah update, selalu password salah👎👎👎👎👎",1,0,3.0.1,2023-02-20 18:48:57,,,3.0.1
a13dba86-18e2-431c-a0d9-2817d066916a,Mohammad Syaifuddin Ma'arif,https://play-lh.googleusercontent.com/a-/AD_cMMTkWUfXb1no2Nbhotcv42qdXwU_j_DJe9aXmnM7KaatMk0X,pemberitahuan presensi sering telat alhasil dapet alpha padahal masuk kelas,1,0,3.0.1,2023-03-09 19:07:23,,,3.0.1
55be33fb-9a8f-420c-8580-b2c943dc2e47,Haidar Umar,https://play-lh.googleusercontent.com/a-/AD_cMMSyu9gHt_ww6acTfC1mc9vQcpIdWLhFNkIM1ShOBBKS0Kc,"suka ke logout sendiri, udah gitu gabisa login",1,0,3.0.0,2022-07-23 07:42:55,,,3.0.0
08a0c2fc-f6e5-4837-8c43-bb5630cd8e7f,Amalia Febryanti,https://play-lh.googleusercontent.com/a/AAcHTtcYP5Py0kMUgODdMhgRWbE4C83i8bAfXvcZ3VdD94VBJy8=mo,Harus log in tiap buka app nya,1,0,2.0.62,2022-04-21 18:04:44,,,2.0.62
47332273-50b0-4c18-8d2f-91fea278737f,Nice ARISナイス アリス,https://play-lh.googleusercontent.com/a-/AD_cMMTuOs6w-ikdDG1S1xExl22iBYEX-1M2HjxSfy5O4ppa_-k,kl gini app-nya mending gue ternak lele aja aduhh,1,0,2.0.61,2022-03-22 07:39:59,,,2.0.61
e6df8ea5-9ead-47ba-8a16-9ef25a76d09b,Aditya Gofi Saputra,https://play-lh.googleusercontent.com/a-/AD_cMMQKbKLEBrNU81F4QNLpmZ_jIUFs6-jWrQEqlM5q2QqO6Lg,ngelag,1,0,2.0.60,2022-03-08 07:51:15,,,2.0.60
be62c07d-d82e-4fef-9889-9030455b9b69,hernanda mahardhika,https://play-lh.googleusercontent.com/a-/AD_cMMRt-nnuvsra4Ms2A60MbAudc7xo00kElfFVZbGwxOud,"ke reset terus, pasti ada trouble",1,0,2.0.57,2022-03-01 09:18:08,,,2.0.57
c2d844e4-0cb0-4da9-8ba4-11111bc9cb36,Taufik Rachman Anshori,https://play-lh.googleusercontent.com/a-/AD_cMMQ1Ij-LRTd9HE94JtmNxsBXTNgiYl4BkjroNegatJjToeE,"Log out terus, loading lamaa, interface kurang menarik, ukt kemanain aja boz, perbaiki gapura dulu sampai matang 👎🏻👎🏻👎🏻👎🏻",1,0,2.0.57,2022-03-02 14:23:44,,,2.0.57
4b803cc1-e8aa-4d0f-969a-1ae75f795158,Devarrel Ayub Pulungan,https://play-lh.googleusercontent.com/a-/AD_cMMSNQvvf28BsNw-j-48O1b15mwoIqJ2c-OturHijgWK4MQU,saya tidak bisa login,1,0,2.0.54,2021-11-30 19:57:40,,,2.0.54
df756257-773d-4078-961a-1844fbe8f300,Khoirul Huda,https://play-lh.googleusercontent.com/a-/AD_cMMQUF6PBnq_u2x3VTQs16VLnOerWiJ_x9cQKniJko0-VN-Fq,univ sekelas ub bikin aplikasi kyk chuaksss..,1,0,2.0.51,2021-09-23 10:56:14,,,2.0.51
7a895f71-f5b3-4816-9586-27b0b916949a,Hengky,https://play-lh.googleusercontent.com/a-/AD_cMMSYQDMEbE-miYPlHmhVcHYH5ES1WiiaIS9WNXXuAhTo5F8,Setiap buka gapura harus login,1,0,2.0.51,2021-09-23 14:44:36,,,2.0.51
